URL,Pattern
http://danger.rulez.sk/projects/bruteforceblocker/blist.php,^(\d[^\t]+)[^\n]*
https://www.nothink.org/blacklist/blacklist_ssh_day.txt,^(\d[^\t]+)[^\n]*
https://www.nothink.org/blacklist/blacklist_telnet_day.txt,^(\d[^\t]+)[^\n]*
https://lists.blocklist.de/lists/sip.txt,^(\d[^\t]+)[^\n]*
https://lists.blocklist.de/lists/ssh.txt,^(\d[^\t]+)[^\n]*
https://lists.blocklist.de/lists/strongips.txt,^(\d[^\t]+)[^\n]*
https://malc0de.com/bl/IP_Blacklist.txt,^(\d[^\t]+)[^\n]*
https://www.dshield.org/block.txt,^(\d[^\t]+)[^\n]*
https://www.team-cymru.org/Services/Bogons/fullbogons-ipv4.txt,^(\d[^\t]+)[^\n]*
https://zeustracker.abuse.ch/blocklist.php?download=badips,^(\d[^\t]+)[^\n]*
http://data.netlab.360.com/feeds/mirai-scanner/scanner.list,[^\n]*sip=([^\t]*)[^\n]*
http://dataplane.org/sipinvitation.txt,[^\n]+(\d+\.\d+\.\d+\.\d+)[^\n]+
http://dataplane.org/sipquery.txt,[^\n]+(\d+\.\d+\.\d+\.\d+)[^\n]+
http://dataplane.org/sipregistration.txt,[^\n]+(\d+\.\d+\.\d+\.\d+)[^\n]+
http://dataplane.org/sshclient.txt,[^\n]+(\d+\.\d+\.\d+\.\d+)[^\n]+
http://dataplane.org/sshpwauth.txt,[^\n]+(\d+\.\d+\.\d+\.\d+)[^\n]+
https://osint.bambenekconsulting.com/feeds/c2-ipmasterlist.txt,[^\n]*(\d+\.\d+\.\d+\.\d+)[^\n]*
https://www.nothink.org/honeypot_dns_attacks.txt,[^\n]+(\d+\.\d+\.\d+\.\d+)[^\n]+
https://lists.blocklist.de/lists/bots.txt,.*
https://lists.blocklist.de/lists/bruteforcelogin.txt,.*
https://lists.blocklist.de/lists/ftp.txt,.*
https://lists.blocklist.de/lists/imap.txt,.*
https://lists.blocklist.de/lists/ircbot.txt,.*
https://lists.blocklist.de/lists/mail.txt,.*
https://malc0de.com/bl/BOOT,.*
